iter	RMSE
355	1709.456466
356	1708.422804
357	1707.357074
358	1706.718261
359	1705.605224
360	1704.342426
361	1703.695125
362	1702.692545
363	1702.498177
364	1702.478842
365	1700.638027
366	1698.973268
367	1698.493418
368	1697.831725
369	1697.614619
370	1696.490871
371	1695.370702
372	1694.42498
373	1692.863671
374	1691.910543
375	1691.000108
376	1689.353982
377	1688.597671
378	1687.360848
379	1687.249899
380	1686.316689
381	1685.374562
382	1685.365326
383	1684.148134
384	1683.865702
385	1682.952275
386	1681.85879
387	1680.973022
388	1680.352386
389	1680.339356
390	1679.515765
391	1678.545087
392	1678.534941
393	1678.063883
394	1677.181579
395	1677.121707
396	1676.568432
397	1675.795459
398	1675.783567
399	1674.761286
400	1674.20578
401	1673.121004
402	1671.898991
403	1671.013246
404	1669.605273
405	1668.567768
406	1667.823517
407	1667.264052
408	1666.418304
409	1665.192292
410	1664.344441
411	1663.532281
412	1663.111049
413	1662.329529
414	1662.317858
415	1661.425677
416	1660.299685
417	1660.288329
418	1659.573925
419	1659.43317
420	1658.765485
421	1658.699738
422	1657.775844
423	1656.971559
424	1656.229935
425	1655.5928
426	1655.52635
427	1654.339269
428	1653.675722
429	1652.928481
430	1652.747154
431	1651.576282
432	1650.516628
433	1649.226312
434	1648.01384
435	1647.401747
436	1646.888071
437	1646.877889
438	1646.446543
439	1646.367548
440	1646.29024
441	1645.86409
442	1645.857571
443	1644.339067
444	1643.666727
445	1643.645378
446	1642.700044
447	1642.268516
448	1641.468434
449	1640.530883
450	1639.854806
451	1638.718213
452	1638.274126
453	1637.576197
454	1636.613027
455	1635.21224
456	1634.373919
457	1633.461324
458	1632.610794
459	1631.634837
460	1630.743009
461	1629.712095
462	1628.703963
463	1628.00589
464	1627.308355
465	1626.722847
466	1626.091017
467	1625.536895
468	1625.449675
469	1624.711222
470	1624.26222
471	1624.254462
472	1623.702277
473	1622.975818
474	1622.456345
475	1621.77311
476	1621.114246
477	1619.837385
478	1619.092659
479	1619.083042
480	1619.077238
481	1618.409473
482	1617.62545
483	1616.789557
484	1615.663956
485	1615.043826
486	1614.335233
487	1614.302411
488	1613.641035
489	1612.881606
490	1612.522208
491	1611.562122
492	1610.825208
493	1609.952534
494	1608.469146
495	1607.988312
496	1607.275165
497	1606.833098
498	1606.824817
499	1606.276254
500	1605.774131
501	1604.783255
502	1604.024662
503	1603.453959
504	1602.601818
505	1601.905381
506	1601.718085
507	1601.12304
508	1601.006259
509	1600.431096
510	1600.012164
511	1598.73791
512	1597.812748
513	1597.808063
514	1597.163156
515	1596.179394
516	1595.484259
517	1593.916142
518	1593.107392
519	1593.069313
520	1592.232161
521	1591.290565
522	1590.421326
523	1590.339952
524	1589.743696
525	1589.19393
526	1588.846872
527	1588.843319
528	1588.216619
529	1587.607454
530	1586.542495
531	1586.535864
532	1585.694872
533	1585.223242
534	1584.688865
535	1583.561576
536	1582.648311
537	1582.055704
538	1581.214304
539	1580.438087
540	1579.530306
541	1578.841057
542	1578.18096
543	1577.72031
544	1577.71299
545	1577.224267
546	1576.558228
547	1576.121283
548	1575.878656
549	1575.234432
550	1575.191594
551	1574.299631
552	1573.521074
553	1572.708706
554	1572.145615
555	1571.598177
556	1571.134987
557	1570.509813
558	1569.460278
559	1568.520302
560	1568.081318
561	1567.076947
562	1567.069619
563	1566.667083
564	1566.250439
565	1566.199658
566	1565.295716
567	1564.464551
568	1563.748539
569	1563.225427
570	1562.708382
571	1562.478802
572	1561.951507
573	1561.399684
574	1560.723246
575	1560.716607
576	1560.365328
577	1560.358908
578	1559.346332
579	1559.15975
580	1559.156051
581	1558.437328
582	1557.984949
583	1557.947046
584	1556.644936
585	1555.925968
586	1555.280891
587	1554.656925
588	1554.169749
589	1553.538223
590	1552.726392
591	1552.317594
592	1551.743702
593	1551.73951
594	1551.28342
595	1550.136181
596	1549.203945
597	1548.910246
598	1548.555429
599	1547.62903
600	1547.279116
601	1546.728907
602	1546.723191
603	1545.53722
604	1544.624553
605	1543.845176
606	1543.362179
607	1542.904112
608	1542.534469
609	1542.105776
610	1541.05867
611	1540.782051
612	1539.865471
613	1539.235313
614	1538.873695
615	1538.213167
616	1537.555489
617	1537.213192
618	1536.817323
619	1536.105276
620	1535.199687
621	1534.756836
622	1533.673438
623	1533.281778
624	1531.984743
625	1531.670916
626	1531.408985
627	1531.017747
628	1530.677406
629	1530.073292
630	1529.613838
631	1529.146671
632	1528.696923
633	1528.407432
634	1527.853596
635	1526.871706
636	1526.545143
637	1525.954
638	1525.361263
639	1525.358069
640	1525.354966
641	1525.112963
642	1524.217004
643	1523.668602
644	1522.998024
645	1521.976327
646	1521.971078
647	1521.429882
648	1521.424796
649	1520.936829
650	1520.250976
651	1519.126382
652	1518.72606
653	1518.336883
654	1517.637562
655	1517.221324
656	1516.971095
657	1516.269138
658	1515.804465
659	1514.820672
660	1514.350464
661	1514.322983
662	1513.60073
663	1513.091878
664	1512.797706
665	1512.411252
666	1512.109049
667	1511.323672
668	1510.626279
669	1510.62361
670	1509.837139
671	1509.287409
672	1509.283465
673	1509.278308
674	1508.642576
675	1507.990851
676	1507.435387
677	1506.698936
678	1506.122643
679	1505.642893
680	1505.365675
681	1504.52439
682	1504.489644
683	1503.961916
684	1503.788207
685	1502.735459
686	1502.200698
687	1501.880163
688	1501.46836
689	1501.205464
690	1500.870951
691	1500.573007
692	1499.786203
693	1499.550553
694	1498.904031
695	1498.035611
696	1497.421883
697	1497.078031
698	1496.637589
699	1496.09223
700	1495.226092
701	1494.798728
702	1494.272222
703	1493.883625
704	1493.32918
705	1493.072044
706	1492.29695
707	1491.996713
708	1491.67857
709	1490.930848
710	1490.754567
711	1490.465513
712	1490.123883
713	1489.833184
714	1489.429674
715	1489.065198
716	1488.79968
717	1488.674087
718	1488.282746
719	1488.023832
720	1487.366263
721	1486.844346
722	1485.991888
723	1485.63408
724	1484.990548
725	1484.484378
726	1484.19545
727	1483.656077
728	1483.653604
729	1483.17754
730	1482.743137
731	1482.221122
732	1481.410416
733	1481.07542
734	1480.64491
735	1479.855387
736	1479.614784
737	1479.609712
738	1479.226613
739	1478.746838
740	1478.244819
741	1477.931204
742	1477.367444
743	1476.504214
744	1476.090585
745	1475.75608
746	1475.560009
747	1475.555088
748	1475.203174
749	1474.734324
750	1474.365539
751	1474.058296
752	1473.746671
753	1473.572444
754	1473.236764
755	1472.726655
756	1472.722604
757	1472.718706
758	1472.30582
759	1472.011
760	1471.523132
761	1471.520995
762	1471.13861
763	1470.357041
764	1469.852022
765	1469.848393
766	1469.341473
767	1468.874237
768	1468.659317
769	1468.423828
770	1468.241929
771	1467.877126
772	1467.702745
773	1467.187273
774	1466.395602
775	1466.047343
776	1465.506105
777	1465.064742
778	1464.858939
779	1464.56998
780	1464.239843
781	1463.588231
782	1463.260373
783	1462.870878
784	1462.624117
785	1461.844098
786	1461.501644
787	1461.324983
788	1461.31979
789	1461.317774
790	1461.051828
791	1460.592131
792	1460.212173
793	1459.935923
794	1459.334816
795	1458.874272
796	1458.329507
797	1457.968836
798	1457.964825
799	1457.574407
800	1457.471918
801	1456.986158
802	1456.528335
803	1455.777612
804	1455.455149
805	1455.016023
806	1454.427477
807	1454.217469
808	1453.961161
809	1453.667188
810	1453.384503
811	1453.025159
812	1452.531109
813	1452.284332
814	1451.737979
815	1451.204176
816	1451.20168
817	1450.891932
818	1450.854133
819	1450.622809
820	1450.402146
821	1449.98216
822	1449.463339
823	1449.122217
824	1448.740565
825	1448.496796
826	1448.346429
827	1448.013133
828	1447.791381
829	1447.263215
830	1446.991842
831	1446.732921
832	1446.410439
833	1445.932554
834	1445.785686
835	1445.563282
836	1445.402411
837	1444.977222
838	1444.973111
839	1444.685631
840	1444.683614
841	1444.255784
842	1443.963557
843	1443.579349
844	1443.276557
845	1442.920392
846	1442.585704
847	1441.770807
848	1441.532342
849	1441.173191
850	1440.737502
851	1440.400668
852	1440.301526
853	1440.29783
854	1439.98857
855	1439.830962
856	1439.177303
857	1438.995707
858	1438.460327
859	1437.539974
860	1437.214932
861	1436.940655
862	1436.45166
863	1436.285404
864	1435.927961
865	1435.764966
866	1435.270388
867	1434.719749
868	1434.259507
869	1434.25605
870	1433.97497
871	1433.229157
872	1432.821133
873	1432.408423
874	1432.018561
875	1432.016841
876	1431.437047
877	1431.168267
878	1430.951138
879	1430.947795
880	1430.407746
881	1430.012983
882	1429.489666
883	1429.141846
884	1428.953378
885	1428.951488
886	1428.664577
887	1428.16464
888	1427.946908
889	1427.687416
890	1427.684188
891	1427.492188
892	1427.261095
893	1426.791107
894	1426.489966
895	1426.310711
896	1425.885056
897	1425.508025
898	1425.056964
899	1424.500104
900	1424.266926
901	1423.848251
902	1423.621202
903	1423.290539
904	1423.117687
905	1423.114392
906	1422.52889
907	1422.21106
908	1421.795391
909	1421.699117
910	1421.545632
911	1421.360284
912	1421.058384
913	1420.504457
914	1420.067847
915	1419.938098
916	1419.935846
917	1419.565087
918	1419.392028
919	1418.71755
920	1418.559791
921	1418.265417
922	1418.069188
923	1417.669208
924	1417.37042
925	1416.997397
926	1416.703913
927	1416.359085
928	1416.042278
929	1415.656055
930	1415.297362
931	1414.790705
932	1414.438031
933	1413.9838
934	1413.565949
935	1413.301149
936	1412.930988
937	1412.909358
938	1412.698472
939	1412.424131
940	1412.101222
941	1411.866614
942	1411.355545
943	1411.219452
944	1410.70582
945	1410.286982
946	1410.168862
947	1409.957639
948	1409.701931
949	1409.5539
950	1409.424292
951	1409.116435
952	1408.999812
953	1408.945649
954	1408.335365
955	1407.931499
956	1407.698767
957	1407.432303
958	1406.96934
959	1406.684311
960	1406.442898
961	1405.976711
962	1405.704283
963	1405.502301
964	1405.184113
965	1404.824056
966	1404.608057
967	1404.466935
968	1404.32379
969	1403.894724
970	1403.619301
971	1403.369293
972	1403.166125
973	1402.861326
974	1402.586973
975	1402.353307
976	1402.098619
977	1401.917784
978	1401.739231
979	1401.484604
980	1401.218005
981	1400.666437
982	1400.344663
983	1400.217786
984	1399.862381
985	1399.550171
986	1399.002209
987	1398.829115
988	1398.515301
989	1398.352455
990	1397.904104
991	1397.640381
992	1397.266898
993	1397.123598
994	1396.951783
995	1396.695685
996	1396.405395
997	1395.934012
998	1395.8519
999	1395.733133
